gene_type	gene_name
processed_pseudogene	SUMO2P6
lncRNA	ENSG00000250256
processed_pseudogene	HIGD1AP3
protein_coding	MSX2
lncRNA	ENSG00000251670
miRNA	MIR4634
lncRNA	ENSG00000251144
lncRNA	LINC01951
processed_pseudogene	NIFKP2
unprocessed_pseudogene	ENSG00000248293
lncRNA	ENSG00000249403
processed_pseudogene	ARL2BPP6
protein_coding	DRD1
lncRNA	ENSG00000286350
protein_coding	SFXN1
processed_pseudogene	ENSG00000270839
misc_RNA	RN7SKP148
protein_coding	HRH2
snRNA	RNU6-226P
protein_coding	CPLX2
TEC	ENSG00000280068
lncRNA	ENSG00000250820
protein_coding	THOC3
lncRNA	THOC3-AS1
unprocessed_pseudogene	OR1X1P
lncRNA	ENSG00000250992
lncRNA	ENSG00000248469
protein_coding	FAM153B
protein_coding	ENSG00000285476
transcribed_processed_pseudogene	FAM153B
lncRNA	ENSG00000251458
transcribed_unprocessed_pseudogene	ENSG00000283559
lncRNA	ENSG00000248596
lncRNA	ENSG00000287579
lncRNA	ENSG00000283235
processed_pseudogene	ENSG00000270989
protein_coding	SIMC1
processed_pseudogene	BRCC3P1
protein_coding	KIAA1191
lncRNA	ENSG00000250909
lncRNA	ENSG00000251414
protein_coding	ARL10
miRNA	MIR1271
protein_coding	NOP16
protein_coding	HIGD2A
protein_coding	CLTB
TEC	ENSG00000280139
protein_coding	FAF2
protein_coding	RNF44
protein_coding	CDHR2
misc_RNA	RN7SL684P
protein_coding	GPRIN1
protein_coding	SNCB
miRNA	MIR4281
protein_coding	EIF4E1B
protein_coding	TSPAN17
lncRNA	ENSG00000248484
lncRNA	ENSG00000251446
lncRNA	LINC01574
protein_coding	UNC5A
protein_coding	HK3
protein_coding	UIMC1
protein_coding	ZNF346
lncRNA	ZNF346-IT1
protein_coding	FGFR4
protein_coding	NSD1
lncRNA	ENSG00000286634
processed_pseudogene	ENSG00000240729
processed_pseudogene	PRMT1P1
protein_coding	RAB24
protein_coding	MXD3
protein_coding	PRELID1
protein_coding	LMAN2
processed_pseudogene	ENSG00000239393
protein_coding	RGS14
protein_coding	SLC34A1
protein_coding	PFN3
protein_coding	F12
protein_coding	GRK6
lncRNA	PRR7-AS1
protein_coding	PRR7
protein_coding	DBN1
TEC	ENSG00000279821
protein_coding	PDLIM7
lncRNA	PDLIM7-AS1
protein_coding	DOK3
protein_coding	DDX41
protein_coding	FAM193B
lncRNA	FAM193B-DT
protein_coding	TMED9
protein_coding	B4GALT7
lncRNA	ENSG00000247679
transcribed_unprocessed_pseudogene	ENSG00000246596
lncRNA	ENSG00000249849
protein_coding	FAM153A
lncRNA	ENSG00000249109
lncRNA	ENSG00000248943
transcribed_unprocessed_pseudogene	ENSG00000170089
unprocessed_pseudogene	OR1X5P
lncRNA	ENSG00000249186
lncRNA	ENSG00000250101
lncRNA	ENSG00000249684
lncRNA	ENSG00000280207
processed_pseudogene	SUDS3P1
protein_coding	PROP1
lncRNA	FAM153CP
transcribed_processed_pseudogene	ENSG00000218227
protein_coding	N4BP3
protein_coding	RMND5B
protein_coding	NHP2
processed_pseudogene	ENSG00000251211
protein_coding	GMCL2
lncRNA	ENSG00000289390
protein_coding	HNRNPAB
protein_coding	PHYKPL
protein_coding	COL23A1
processed_pseudogene	ENSG00000271681
lncRNA	ENSG00000253698
misc_RNA	RN7SL646P
lncRNA	ENSG00000245688
protein_coding	CLK4
misc_RNA	RN7SKP70
lncRNA	ENSG00000286713
protein_coding	MSANTD5
protein_coding	ENSG00000285978
protein_coding	ZNF354A
transcribed_unprocessed_pseudogene	AACSP1
unprocessed_pseudogene	ENSG00000274813
processed_pseudogene	ENSG00000253725
processed_pseudogene	ENSG00000278441
protein_coding	ZNF354B
snRNA	RNU1-39P
protein_coding	ZFP2
processed_pseudogene	ENSG00000213328
processed_pseudogene	PIGFP1
lncRNA	ZNF454-DT
protein_coding	ZNF454
lncRNA	ENSG00000254035
protein_coding	GRM6
processed_pseudogene	ENSG00000254158
protein_coding	ZNF879
protein_coding	ZNF354C
processed_pseudogene	ENSG00000253144
protein_coding	ADAMTS2
lncRNA	ENSG00000253979
lncRNA	ENSG00000253163
processed_pseudogene	ENSG00000253617
lncRNA	ENSG00000250674
lncRNA	ENSG00000253652
unprocessed_pseudogene	ENSG00000251545
processed_pseudogene	ENSG00000253520
protein_coding	RUFY1
processed_pseudogene	PRDX2P3
lncRNA	RUFY1-AS1
protein_coding	HNRNPH1
lncRNA	C5orf60
unprocessed_pseudogene	ENSG00000228259
lncRNA	ENSG00000250999
protein_coding	CBY3
protein_coding	CANX
transcribed_processed_pseudogene	HMGB3P22
protein_coding	MAML1
protein_coding	LTC4S
protein_coding	MGAT4B
miRNA	MIR1229
protein_coding	SQSTM1
protein_coding	MRNIP
misc_RNA	RN7SKP150
lncRNA	ENSG00000245317
protein_coding	TBC1D9B
protein_coding	RNF130
processed_pseudogene	RPS15AP18
processed_pseudogene	ENSG00000249876
lncRNA	ENSG00000249412
lncRNA	ENSG00000285865
miRNA	MIR340
TEC	ENSG00000278965
processed_pseudogene	ENSG00000253480
protein_coding	RASGEF1C
processed_pseudogene	ENSG00000229721
protein_coding	MAPK9
processed_pseudogene	ENSG00000253908
lncRNA	ENSG00000248367
protein_coding	GFPT2
lncRNA	ENSG00000250509
snRNA	RNU6-525P
protein_coding	CNOT6
processed_pseudogene	ENSG00000250749
protein_coding	SCGB3A1
protein_coding	FLT4
processed_pseudogene	ENSG00000251352
lncRNA	LINC02222
unprocessed_pseudogene	OR2AI1P
snRNA	RNU1-17P
protein_coding	OR2Y1
protein_coding	MGAT1
TEC	ENSG00000280161
lncRNA	HEIH
lncRNA	LINC00847
lncRNA	ENSG00000286128
protein_coding	ZFP62
protein_coding	BTNL8
processed_pseudogene	RPS29P12
processed_pseudogene	ENSG00000249287
processed_pseudogene	ENSG00000248761
processed_pseudogene	ARPP19P1
protein_coding	BTNL3
snRNA	RNU6-1036P
protein_coding	BTNL9
miRNA	MIR8089
processed_pseudogene	ENSG00000241870
processed_pseudogene	FOXO1B
processed_pseudogene	ENSG00000248560
protein_coding	OR2V1
protein_coding	OR2V2
lncRNA	LINC01962
lncRNA	ENSG00000250222
protein_coding	TRIM7
lncRNA	TRIM7-AS1
lncRNA	ENSG00000248514
lncRNA	ENSG00000286644
protein_coding	TRIM41
miRNA	MIR4638
lncRNA	ENSG00000247049
protein_coding	RACK1
snoRNA	SNORD96A
snoRNA	SNORD95
lncRNA	CTC-338M12.4
protein_coding	TRIM52
lncRNA	TRIM52-AS1
lncRNA	ENSG00000286310
lncRNA	ENSG00000248103
unprocessed_pseudogene	ENSG00000274525
snRNA	RNU6-705P
lncRNA	ENSG00000238035
processed_pseudogene	CICP15
lncRNA	SEPTIN14P5
protein_coding	OR4F3
processed_pseudogene	WBP1LP4
processed_pseudogene	RPL23AP45
processed_pseudogene	WBP1LP12
unprocessed_pseudogene	OR4F1P
transcribed_processed_pseudogene	CICP18
unprocessed_pseudogene	ENSG00000218577
lncRNA	ENSG00000263667
lncRNA	ENSG00000285578
lncRNA	ENSG00000205653
lncRNA	ENSG00000287265
protein_coding	DUSP22
protein_coding	IRF4
lncRNA	ENSG00000286364
protein_coding	EXOC2
lncRNA	ENSG00000230433
protein_coding	HUS1B
processed_pseudogene	ENSG00000219712
lncRNA	ENSG00000271727
lncRNA	ENSG00000272463
lncRNA	ENSG00000287293
lncRNA	ENSG00000271911
lncRNA	ENSG00000272485
lncRNA	ENSG00000276687
lncRNA	LINC01622
lncRNA	ENSG00000270937
lncRNA	ENSG00000176515
lncRNA	ENSG00000286324
protein_coding	FOXQ1
lncRNA	LINC01394
lncRNA	FOXF2-DT
protein_coding	FOXF2
miRNA	MIR6720
misc_RNA	RN7SL352P
processed_pseudogene	ENSG00000218027
lncRNA	ENSG00000272279
lncRNA	FOXCUT
protein_coding	FOXC1
protein_coding	GMDS
lncRNA	ENSG00000285603
lncRNA	GMDS-DT
processed_pseudogene	HMGN2P28
lncRNA	ENSG00000286512
lncRNA	ENSG00000272465
lncRNA	ENSG00000287903
TEC	ENSG00000280423
lncRNA	LINC02521
lncRNA	LINC01600
protein_coding	MYLK4
protein_coding	WRNIP1
protein_coding	SERPINB1
lncRNA	SERPINB9P1
miRNA	MIR4645
protein_coding	SERPINB9
unprocessed_pseudogene	ENSG00000232999
lncRNA	ENSG00000228365
protein_coding	SERPINB6
lncRNA	LINC01011
protein_coding	NQO2
lncRNA	NQO2-AS1
processed_pseudogene	HTATSF1P2
lncRNA	ENSG00000288612
processed_pseudogene	ENSG00000274855
processed_pseudogene	FAM136BP
unprocessed_pseudogene	SERPINB8P1
lncRNA	ENSG00000229282
protein_coding	RIPK1
lncRNA	ENSG00000272277
rRNA_pseudogene	RNA5SP201
protein_coding	BPHL
lncRNA	ENSG00000228170
protein_coding	TUBB2A
unprocessed_pseudogene	TUBB2BP1
lncRNA	LINC02525
protein_coding	TUBB2B
lncRNA	ENSG00000288840
protein_coding	PSMG4
protein_coding	SLC22A23
lncRNA	ENSG00000272320
lncRNA	ENSG00000228793
processed_pseudogene	ENSG00000270477
protein_coding	PXDC1
lncRNA	ENSG00000270504
processed_pseudogene	ENSG00000219992
lncRNA	ENSG00000238158
lncRNA	ENSG00000233068
protein_coding	FAM50B
lncRNA	ENSG00000260604
processed_pseudogene	ENSG00000218472
processed_pseudogene	ENSG00000217135
processed_pseudogene	TDGF1P4
processed_pseudogene	GLRX3P2
TEC	ENSG00000279926
lncRNA	ENSG00000288904
lncRNA	ENSG00000272248
lncRNA	ENSG00000230648
protein_coding	PRPF4B
protein_coding	FAM217A
transcribed_unitary_pseudogene	C6orf201
protein_coding	ECI2
lncRNA	ENSG00000254821
lncRNA	ECI2-DT
lncRNA	ENSG00000237716
processed_pseudogene	ENSG00000216307
lncRNA	ENSG00000285424
lncRNA	ENSG00000231811
lncRNA	ENSG00000287761
rRNA_pseudogene	RNA5SP202
lncRNA	ENSG00000285694
lncRNA	LINC02533
processed_pseudogene	ENSG00000270695
lncRNA	ENSG00000260673
lncRNA	ENSG00000205444
processed_pseudogene	PSMC1P11
protein_coding	CDYL
lncRNA	ENSG00000284823
lncRNA	CDYL-AS1
processed_pseudogene	ENSG00000217030
protein_coding	RPP40
lncRNA	ENSG00000272142
lncRNA	ENSG00000271978
processed_pseudogene	ENSG00000220685
lncRNA	ENSG00000288548
protein_coding	PPP1R3G
protein_coding	LYRM4
miRNA	MIR3691
protein_coding	FARS2
processed_pseudogene	ENSG00000220446
lncRNA	ENSG00000269985
processed_pseudogene	HNRNPA1P37
lncRNA	ENSG00000270174
processed_pseudogene	ENSG00000217239
processed_pseudogene	ENSG00000216360
lncRNA	ENSG00000233064
misc_RNA	RN7SL221P
processed_pseudogene	PKMP5
protein_coding	NRN1
protein_coding	F13A1
miRNA	MIR7853
miRNA	MIR5683
lncRNA	LY86-AS1
transcribed_processed_pseudogene	SNAPC5P1
lncRNA	ENSG00000285717
processed_pseudogene	CNN3P1
protein_coding	LY86
lncRNA	ENSG00000261211
TEC	ENSG00000279368
lncRNA	ENSG00000226281
lncRNA	ENSG00000287497
lncRNA	ENSG00000288046
lncRNA	ENSG00000224532
processed_pseudogene	BTF3P7
lncRNA	ENSG00000288860
lncRNA	ENSG00000223342
misc_RNA	RN7SL554P
lncRNA	ENSG00000203498
protein_coding	RREB1
lncRNA	ENSG00000225092
unprocessed_pseudogene	ENSG00000287002
lncRNA	ENSG00000285771
protein_coding	SSR1
lncRNA	ENSG00000238221
protein_coding	CAGE1
processed_pseudogene	ENSG00000219375
processed_pseudogene	ENSG00000220472
processed_pseudogene	ENSG00000230570
protein_coding	RIOK1
processed_pseudogene	HNRNPLP1
processed_pseudogene	ENSG00000219993
processed_pseudogene	ENSG00000234115
lncRNA	ENSG00000261189
protein_coding	DSP
protein_coding	SNRNP48
processed_pseudogene	ENSG00000236512
protein_coding	BMP6
protein_coding	TXNDC5
protein_coding	BLOC1S5-TXNDC5
processed_pseudogene	ENSG00000217746
processed_pseudogene	PIP5K1P1
protein_coding	BLOC1S5
protein_coding	EEF1E1-BLOC1S5
protein_coding	EEF1E1
lncRNA	ENSG00000232234
lncRNA	ENSG00000285216
lncRNA	ENSG00000234763
protein_coding	SLC35B3
lncRNA	HULC
misc_RNA	ENSG00000276019
lncRNA	ENSG00000225775
transcribed_unitary_pseudogene	OFCC1
processed_pseudogene	ENSG00000216368
processed_pseudogene	ENSG00000229765
snRNA	RNU6ATAC21P
processed_pseudogene	ENSG00000216781
protein_coding	TFAP2A
lncRNA	TFAP2A-AS2
lncRNA	TFAP2A-AS1
lncRNA	ENSG00000228478
lncRNA	ENSG00000285759
lncRNA	LINC00518
lncRNA	MIR5689HG
miRNA	MIR5689
processed_pseudogene	MRPL48P1
lncRNA	LINC02522
protein_coding	GCNT2
lncRNA	ENSG00000237685
processed_pseudogene	ENSG00000216359
processed_pseudogene	ENSG00000217181
processed_pseudogene	GCNT2P1
lncRNA	ENSG00000285763
protein_coding	C6orf52
protein_coding	PAK1IP1
protein_coding	TMEM14C
lncRNA	TMEM14B-DT
protein_coding	TMEM14B
protein_coding	ENSG00000272162
rRNA_pseudogene	RNA5SP203
protein_coding	MAK
protein_coding	GCM2
lncRNA	ENSG00000235051
protein_coding	SYCP2L
protein_coding	ELOVL2
processed_pseudogene	ENSG00000274541
lncRNA	ELOVL2-AS1
protein_coding	SMIM13
protein_coding	ERVFRD-1
processed_pseudogene	ENSG00000271245
lncRNA	ENSG00000247925
protein_coding	NEDD9
lncRNA	ENSG00000287920
lncRNA	ENSG00000242753
lncRNA	ENSG00000233656
snRNA	RNU1-64P
transcribed_processed_pseudogene	THAP12P5
protein_coding	TMEM170B
lncRNA	ENSG00000271897
snoRNA	ENSG00000207419
protein_coding	ADTRP
lncRNA	ENSG00000287593
lncRNA	ENSG00000234427
processed_pseudogene	AMD1P4
lncRNA	ENSG00000225102
lncRNA	ENSG00000229896
protein_coding	HIVEP1
protein_coding	EDN1
processed_pseudogene	SUMO2P12
misc_RNA	RN7SKP293
processed_pseudogene	RPL15P3
lncRNA	LINC02530
protein_coding	PHACTR1
snRNA	RNU1-11P
lncRNA	ENSG00000215022
protein_coding	TBC1D7
lncRNA	ENSG00000272379
lncRNA	ENSG00000289257
protein_coding	GFOD1
lncRNA	GFOD1-AS1
processed_pseudogene	RPS4XP7
misc_RNA	RN7SKP204
protein_coding	SIRT5
lncRNA	ENSG00000261071
protein_coding	NOL7
protein_coding	RANBP9
lncRNA	ENSG00000286316
protein_coding	MCUR1
lncRNA	ENSG00000272209
protein_coding	RNF182
processed_pseudogene	MRPL35P1
lncRNA	ENSG00000233981
protein_coding	CD83
lncRNA	ENSG00000285639
snRNA	RNU7-133P
lncRNA	ENSG00000286281
lncRNA	ENSG00000230631
lncRNA	LINC01108
lncRNA	ENSG00000237346
lncRNA	ENSG00000234540
lncRNA	ENSG00000286277
lncRNA	ENSG00000229646
snRNA	RNU6-793P
lncRNA	ENSG00000234261
processed_pseudogene	ENSG00000216754
misc_RNA	RN7SL332P
lncRNA	JARID2-DT
protein_coding	JARID2
lncRNA	JARID2-AS1
snRNA	RNU6-522P
snRNA	RNU6-645P
protein_coding	DTNBP1
lncRNA	ENSG00000287626
processed_pseudogene	ARPC3P5
lncRNA	LINC02543
processed_pseudogene	ENSG00000274212
processed_pseudogene	MDH1P2
protein_coding	MYLIP
miRNA	MIR4639
processed_pseudogene	ENSG00000218073
processed_pseudogene	ENSG00000217078
processed_pseudogene	MRPL42P2
snRNA	RNU6-1114P
protein_coding	GMPR
lncRNA	ENSG00000282024
protein_coding	ATXN1
protein_coding	ENSG00000288708
lncRNA	ATXN1-AS1
lncRNA	ENSG00000272341
lncRNA	ENSG00000287347
lncRNA	ENSG00000286631
lncRNA	ENSG00000287359
protein_coding	STMND1
lncRNA	ENSG00000287559
lncRNA	ENSG00000288812
protein_coding	RBM24
processed_pseudogene	ENSG00000219314
protein_coding	CAP2
processed_pseudogene	RPL7P26
processed_pseudogene	SUMO2P13
lncRNA	ENSG00000286885
protein_coding	FAM8A1
protein_coding	NUP153
snRNA	RNU6-190P
lncRNA	NUP153-AS1
rRNA_pseudogene	RNA5SP204
protein_coding	KIF13A
unprocessed_pseudogene	ENSG00000220920
protein_coding	NHLRC1
protein_coding	TPMT
protein_coding	KDM1B
protein_coding	DEK
lncRNA	ENSG00000289097
processed_pseudogene	ENSG00000278102
snRNA	RNU6-263P
processed_pseudogene	DDX18P3
unprocessed_pseudogene	IMPDH1P9
protein_coding	RNF144B
lncRNA	MIR548A1HG
miRNA	MIR548A1
processed_pseudogene	ENSG00000217379
lncRNA	ENSG00000231662
lncRNA	LNC-LBCS
processed_pseudogene	RPL5P20
rRNA_pseudogene	RNA5SP205
processed_pseudogene	KRT18P38
processed_pseudogene	UQCRFS1P3
snRNA	RNU6-801P
protein_coding	ID4
lncRNA	ENSG00000287138
processed_pseudogene	ENSG00000229700
protein_coding	MBOAT1
lncRNA	ENSG00000227803
lncRNA	ENSG00000287614
lncRNA	ENSG00000286590
lncRNA	ENSG00000287483
protein_coding	E2F3
misc_RNA	RN7SL128P
lncRNA	E2F3-IT1
snRNA	RNU6-141P
protein_coding	CDKAL1
processed_pseudogene	ENSG00000225832
lncRNA	ENSG00000233848
snRNA	RNU6-150P
lncRNA	ENSG00000287404
lncRNA	ENSG00000227089
lncRNA	ENSG00000286368
lncRNA	LINC00581
lncRNA	ENSG00000231754
lncRNA	ENSG00000283480
protein_coding	SOX4
processed_pseudogene	BOLA2P3
lncRNA	CASC15
TEC	ENSG00000280443
misc_RNA	RN7SKP240
lncRNA	NBAT1
processed_pseudogene	ENSG00000219404
protein_coding	PRL
protein_coding	HDGFL1
lncRNA	ENSG00000228772
lncRNA	ENSG00000286954
lncRNA	ENSG00000233358
processed_pseudogene	ENSG00000218476
snRNA	RNU6-1060P
lncRNA	ENSG00000235743
lncRNA	ENSG00000289368
processed_pseudogene	ENSG00000219453
transcribed_unprocessed_pseudogene	ENSG00000278128
processed_pseudogene	SPTLC1P2
processed_pseudogene	ENSG00000220748
processed_pseudogene	HNRNPA1P58
protein_coding	NRSN1
snoRNA	ENSG00000251830
protein_coding	DCDC2
protein_coding	KAAG1
snRNA	RNU6-391P
protein_coding	MRS2
protein_coding	GPLD1
protein_coding	ALDH5A1
protein_coding	KIAA0319
processed_pseudogene	KRT8P43
protein_coding	TDP2
protein_coding	ACOT13
lncRNA	ENSG00000272345
protein_coding	C6orf62
lncRNA	ENSG00000272402
lncRNA	ENSG00000288851
lncRNA	LINC02828
processed_pseudogene	ENSG00000218806
protein_coding	GMNN
protein_coding	ARMH2
protein_coding	ENSG00000282804
protein_coding	RIPOR2
lncRNA	ENSG00000288887
processed_pseudogene	MTCO2P33
processed_pseudogene	PPIAP29
lncRNA	ENSG00000286633
processed_pseudogene	ASS1P1
misc_RNA	RN7SL334P
lncRNA	ENSG00000229313
lncRNA	ENSG00000223623
transcribed_unitary_pseudogene	CMAHP
lncRNA	ENSG00000285801
processed_pseudogene	ENSG00000219682
processed_pseudogene	ENSG00000262400
processed_pseudogene	ENSG00000217805
processed_pseudogene	ENSG00000219681
processed_pseudogene	KATNBL1P5
processed_pseudogene	ENSG00000216718
processed_pseudogene	ENSG00000213972
protein_coding	CARMIL1
snRNA	RNU6-987P
lncRNA	ENSG00000286933
protein_coding	SCGN
processed_pseudogene	PRELID1P2
protein_coding	H2AC1
protein_coding	H2BC1
unprocessed_pseudogene	H2BC2P
unprocessed_pseudogene	H2AC2P
protein_coding	SLC17A4
protein_coding	SLC17A1
protein_coding	SLC17A3
transcribed_processed_pseudogene	H2AC3P
processed_pseudogene	H2BP5
protein_coding	SLC17A2
protein_coding	TRIM38
lncRNA	ENSG00000272558
lncRNA	ENSG00000272462
lncRNA	ENSG00000272810
unprocessed_pseudogene	H3P26
protein_coding	H1-1
protein_coding	H3C1
protein_coding	H4C1
protein_coding	H4C2
protein_coding	H3C2
protein_coding	H2AC4
protein_coding	H2BC3
unprocessed_pseudogene	H2AC5P
protein_coding	H3C3
protein_coding	H1-2
protein_coding	HFE
protein_coding	H4C3
protein_coding	H1-6
protein_coding	H2BC4
protein_coding	H2AC6
protein_coding	H1-4
lncRNA	ENSG00000289117
protein_coding	H2BC5
lncRNA	ENSG00000283064
processed_pseudogene	LARP1P1
protein_coding	H2BC6
protein_coding	H4C4
unprocessed_pseudogene	H1-12P
protein_coding	ENSG00000282988
protein_coding	H3C4
protein_coding	H2AC7
protein_coding	H2BC7
processed_pseudogene	ENSG00000217275
protein_coding	H4C5
protein_coding	H2BC8
protein_coding	H2AC8
unprocessed_pseudogene	H3C5P
protein_coding	H3C6
unprocessed_pseudogene	H2AC9P
protein_coding	H1-3
protein_coding	H4C6
protein_coding	H4C7
protein_coding	H3C7
protein_coding	H2BC9
protein_coding	H3C8
transcribed_unprocessed_pseudogene	H2AC10P
protein_coding	H2BC10
protein_coding	H4C8
lncRNA	ENSG00000289447
processed_pseudogene	H3C9P
lncRNA	ENSG00000287050
protein_coding	BTN3A2
protein_coding	BTN2A2
protein_coding	BTN3A1
transcribed_unprocessed_pseudogene	BTN2A3P
protein_coding	BTN3A3
protein_coding	BTN2A1
unprocessed_pseudogene	BTN1A1P1
protein_coding	BTN1A1
snRNA	RNU6-502P
lncRNA	HCG11
protein_coding	HMGN4
lncRNA	ENSG00000284607
protein_coding	ABT1
lncRNA	ENSG00000275846
processed_pseudogene	ENSG00000271071
protein_coding	ZNF322
lncRNA	ENSG00000285571
lncRNA	ENSG00000261584
transcribed_unprocessed_pseudogene	GUSBP2
processed_pseudogene	POM121L6P
lncRNA	LINC00240
lncRNA	ENSG00000272312
lncRNA	ENSG00000287966
unitary_pseudogene	VN1R12P
processed_pseudogene	VN1R13P
unitary_pseudogene	VN1R11P
snRNA	RNU2-62P
lncRNA	ENSG00000272468
protein_coding	H2BC11
protein_coding	H2AC11
protein_coding	H4C9
protein_coding	H2BC12
protein_coding	H2AC12
miRNA	MIR3143
processed_pseudogene	RPL10P2
protein_coding	PRSS16
processed_pseudogene	ENSG00000270935
protein_coding	POM121L2
unprocessed_pseudogene	VN1R10P
transcribed_unprocessed_pseudogene	ZNF204P
protein_coding	ZNF391
lncRNA	ENSG00000271755
processed_pseudogene	MCFD2P1
protein_coding	ZNF184
lncRNA	ENSG00000285849
lncRNA	ENSG00000286652
lncRNA	ENSG00000285703
processed_pseudogene	ENSG00000278332
processed_pseudogene	ENSG00000270666
processed_pseudogene	HNRNPA1P1
processed_pseudogene	CD83P1
snRNA	RNU6-471P
processed_pseudogene	RPL8P1
lncRNA	ENSG00000287674
lncRNA	LINC01012
processed_pseudogene	GPR89P
lncRNA	ENSG00000287252
processed_pseudogene	RSL24D1P1
processed_pseudogene	H4C10P
protein_coding	H2BC13
protein_coding	H2AC13
protein_coding	H3C10
protein_coding	H2AC14
protein_coding	H2BC14
protein_coding	H4C11
protein_coding	H4C12
protein_coding	H2AC15
protein_coding	H2BC15
processed_pseudogene	H2BC16P
protein_coding	H2AC16
protein_coding	H1-5
protein_coding	H3C11
protein_coding	H4C13
protein_coding	H3C12
protein_coding	H2AC17
protein_coding	H2BC17
snRNA	RNU7-26P
protein_coding	OR2B2
unprocessed_pseudogene	OR2W6P
protein_coding	OR2B6
processed_pseudogene	RPLP2P1
unprocessed_pseudogene	OR2W4P
processed_pseudogene	IQCB2P
lncRNA	ZSCAN16-AS1
unprocessed_pseudogene	OR2W2P
unprocessed_pseudogene	OR2B7P
polymorphic_pseudogene	OR2B8P
unprocessed_pseudogene	OR1F12
lncRNA	ENSG00000272009
protein_coding	ZNF165
transcribed_unprocessed_pseudogene	ZSCAN12P1
protein_coding	ZSCAN16
transcribed_unprocessed_pseudogene	ZNF602P
lncRNA	ENSG00000261839
protein_coding	ZKSCAN8
protein_coding	ZKSCAN8P1
TEC	ENSG00000280107
unprocessed_pseudogene	ZNF603P
unprocessed_pseudogene	ZKSCAN8P2
processed_pseudogene	TOB2P1
protein_coding	ZSCAN9
protein_coding	ZKSCAN4
protein_coding	NKAPL
protein_coding	ZSCAN26
protein_coding	ENSG00000276302
protein_coding	PGBD1
processed_pseudogene	ENSG00000273712
processed_pseudogene	SMIM15P2
protein_coding	ZSCAN31
lncRNA	ENSG00000289467
protein_coding	ZKSCAN3
protein_coding	ZSCAN12
snRNA	RNU2-45P
protein_coding	ZSCAN23
processed_pseudogene	COX11P1
unprocessed_pseudogene	OR2E1P
lncRNA	ENSG00000287804
lncRNA	ENSG00000286819
protein_coding	GPX6
protein_coding	GPX5
protein_coding	ZBED9
lncRNA	ZBED9-AS1
processed_pseudogene	ENSG00000271440
lncRNA	ENSG00000287279
lncRNA	LINC00533
processed_pseudogene	RPSAP2
processed_pseudogene	NOP56P1
lncRNA	ENSG00000225173
lncRNA	LINC01623
processed_pseudogene	RPL13P
processed_pseudogene	ZNF90P2
lncRNA	HCG14
protein_coding	TRIM27
snRNA	RNU6-930P
lncRNA	LINC01556
processed_pseudogene	KRT18P1
misc_RNA	RN7SL471P
lncRNA	HCG15
lncRNA	ENSG00000244349
protein_coding	ZNF311
unprocessed_pseudogene	OR2AD1P
lncRNA	ENSG00000277661
protein_coding	OR2W1
unprocessed_pseudogene	OR2P1P
processed_pseudogene	SAR1AP1
protein_coding	OR2B3
protein_coding	OR2J1
protein_coding	OR2J3
lncRNA	ENSG00000227206
transcribed_unprocessed_pseudogene	ENSG00000203492
lncRNA	ENSG00000284656
protein_coding	OR2J2
unprocessed_pseudogene	OR2J4P
transcribed_unprocessed_pseudogene	OR2H4P
transcribed_unprocessed_pseudogene	ENSG00000197171
unprocessed_pseudogene	OR2G1P
unprocessed_pseudogene	OR2U1P
unprocessed_pseudogene	OR2U2P
protein_coding	OR14J1
processed_pseudogene	DDX6P1
protein_coding	OR5V1
protein_coding	OR12D3
protein_coding	OR12D2
polymorphic_pseudogene	OR12D1
protein_coding	OR11A1
protein_coding	OR10C1
processed_pseudogene	ENSG00000277881
protein_coding	OR2H1
unprocessed_pseudogene	UBDP1
unprocessed_pseudogene	MAS1LP1
lncRNA	ENSG00000289203
protein_coding	MAS1L
processed_pseudogene	RPS17P1
lncRNA	LINC02829
lncRNA	LINC01015
unprocessed_pseudogene	GPR53P
protein_coding	OR2I1P
protein_coding	UBD
protein_coding	GABBR1
unprocessed_pseudogene	OR2H5P
processed_pseudogene	TMEM183AP1
snoRNA	SNORD32B
processed_pseudogene	RPL13AP
protein_coding	OR2H2
processed_pseudogene	SUMO2P1
protein_coding	MOG
protein_coding	ZFP57
processed_pseudogene	ZDHHC20P1
protein_coding	HLA-F
unprocessed_pseudogene	ENSG00000225864
lncRNA	HLA-F-AS1
transcribed_processed_pseudogene	RPL23AP1
transcribed_unprocessed_pseudogene	MICE
unprocessed_pseudogene	HCG9P5
processed_pseudogene	IFITM4P
lncRNA	ENSG00000272236
lncRNA	ENSG00000285761
processed_pseudogene	ENSG00000270896
transcribed_unprocessed_pseudogene	HLA-V
unprocessed_pseudogene	HCG4
unprocessed_pseudogene	HLA-P
processed_pseudogene	RPL7AP7
unprocessed_pseudogene	MICG
protein_coding	HLA-G
unprocessed_pseudogene	HCG4P8
transcribed_unprocessed_pseudogene	ENSG00000285799
lncRNA	HCP5B
unprocessed_pseudogene	ENSG00000230521
unprocessed_pseudogene	HLA-H
unprocessed_pseudogene	HLA-T
unprocessed_pseudogene	DDX39BP1
unprocessed_pseudogene	MCCD1P1
unprocessed_pseudogene	HCG4B
unprocessed_pseudogene	HLA-K
unprocessed_pseudogene	HLA-U
protein_coding	HLA-A
unprocessed_pseudogene	ENSG00000227766
unprocessed_pseudogene	HLA-W
unprocessed_pseudogene	MICD
lncRNA	HCG9
